Gene name,Bone_TA,Brain,Brain_female,Cerebellum_female,Embryonic_fibroblast_cells,Embryonic_stem_cells,Heart,Intestine_TA,Kidney,Liver,Lung,Muscle_TA,Ovaries,Pancreas,Skin,Spinal_cord_female,Spleen_TA,Testes
Mmu-Mir-137-P1-v2_pri,0.21,112.76,8133.21,1051.76,0,1.44,0,10.02,0,0.24,0,0.10,0,0,0,3369.95,0.15,0
Mmu-Mir-138-P1_pri,5.40,2216.70,38493.34,13207.88,7.45,117.50,1.07,26.27,4.73,2.13,2.92,4.30,30.66,37.30,17.45,23487.97,14.93,18.44
Mmu-Mir-138-P2_pri,5.11,1981.95,37287.98,12648.26,7.79,101.64,0.86,21.28,3.70,1.65,2.92,3.71,24.30,32.13,15.11,22915.08,10.31,15.81
Mmu-Mir-139_pri,468.62,208.81,17188.62,1500.58,0.68,20.18,2.79,28.44,21.59,5.91,4.58,54.64,12.71,32.87,82.15,2520.95,158.20,0
Mmu-Mir-140-P1-v1_pri,1468.69,4608.77,267.64,316.07,28755.59,47535.19,1190.51,253.66,6599.34,945.82,5453.10,112.49,5105.22,4602.67,8382.32,571.23,908.67,9272.97
Mmu-Mir-140-P1-v2_pri,1468.53,4608.77,267.64,316.07,28755.59,47535.19,1190.51,253.61,6599.34,945.82,5453.10,112.48,5105.22,4602.67,8382.32,571.23,908.36,9272.97
Mmu-Mir-142-P1-v1_pri,20574.75,32.37,45.12,47.74,22.70,387.81,20.62,2153.98,178.69,12.05,178.35,352.45,467.68,412.52,917.53,193.03,21581.33,179.14
Mmu-Mir-142-P1-v2_pri,4622.88,0.00,81.50,17.73,1.69,7.93,0.43,399.24,1.03,0.24,1.88,22.93,0.00,0.74,24.26,108.29,8039.06,0.00
Mmu-Mir-142-P1-v3_pri,4620.51,0.00,81.50,17.73,1.69,7.93,0.43,398.91,1.03,0.24,1.88,22.92,0.00,0.74,24.26,108.29,8033.01,0.00
Mmu-Mir-142-P1-v4_pri,20579.90,32.37,45.12,47.74,22.70,387.81,20.62,2154.46,178.69,12.05,178.35,352.52,467.68,412.52,917.53,193.03,21582.30,179.14
Mmu-Mir-143_pri,9031.45,277.84,4232.57,3579.92,4807.51,566.58,236.30,65534.81,1698.52,53.86,1742.48,25255.63,6203.57,1209.11,1831.03,3832.89,76908.61,4204.45
Mmu-Mir-144-v2_pri,2997.05,27.23,0.56,1.41,0,0.00,11.81,14.59,53.26,2.36,10.83,25.87,34.39,17.73,2.98,1.65,562.07,10.54
Mmu-Mir-144-v1_pri,2998.72,27.23,1.13,1.81,0,0.00,11.81,14.66,54.08,2.36,10.83,26.09,35.52,18.10,2.98,2.48,563.47,10.54
Mmu-Mir-145_pri,318.82,22.30,109.14,126.31,979.87,64.88,9.67,3904.57,61.28,4.72,167.52,513.51,859.84,116.70,132.81,145.91,2491.63,229.19
Mmu-Mir-146-P4_pri,6185.95,19.72,117.32,37.47,16.94,12.98,4.73,1580.46,56.75,22.68,128.97,686.11,57.57,80.14,79.39,78.53,18306.01,55.32
Mmu-Mir-146-P1_pri,27852.11,541.10,261.15,220.58,185.67,451.97,1.93,3210.15,37.42,17.72,475.26,5549.76,49.35,29.54,250.93,317.44,14741.40,47.42
Mmu-Mir-147-v1_pri,39.90,0.21,1.13,2.22,0,4.33,0.21,13.05,0,0,0.21,0.09,0.37,0,0.85,3.31,0.90,21.07
Mmu-Mir-147-v2_pri,39.90,0.21,1.13,2.22,0,4.33,0.21,13.05,0,0,0.21,0.09,0.37,0,0.85,3.31,0.90,21.07
Mmu-Mir-148-P1_pri,19756.06,54.24,26.51,8.66,123.67,787.16,11.17,20726.93,20.36,169.13,39.38,3091.13,220.94,28178.45,483.78,21.91,26245.09,640.15
Mmu-Mir-148-P4_pri,633.28,48.45,21.43,14.71,57.94,347.45,2.79,442.19,46.68,4.25,24.59,116.92,22.80,77.19,89.18,26.45,2143.87,129.08
Mmu-Mir-148-P3_pri,26.08,188.44,2.54,2.62,4444.97,3571.05,107.84,49.57,1512.63,45.35,711.95,15.58,1295.37,21552.73,3322.15,6.61,53.61,1641.21
Mmu-Mir-149_pri,86.88,2.57,2477.27,1697.60,0.00,3.60,0.00,7.14,0.21,0,0,91.78,0,0,1.49,3803.54,13.18,0
Mmu-Mir-150_pri,1211.05,1.29,223.08,100.52,0.68,2.88,0.43,87.50,0.21,0.00,1.04,103.19,2.62,2.95,56.19,181.04,6526.50,0
Mmu-Mir-153-P1_pri,2.60,21.65,412.60,133.16,0,1.44,0,12.63,0,0.24,0.00,0.36,0,1.85,0,230.23,0.70,0
Mmu-Mir-154-P1_pri,0.21,27.44,2543.55,1819.47,15.59,36.04,0,1.71,0,0.47,0.21,2.94,1.12,1.11,22.99,1909.21,0.39,0.00
Mmu-Mir-154-P2-v1_pri,0.07,26.15,36.38,30.42,93.18,1448.17,0.43,1.57,0.41,0,1.04,5.58,9.72,11.08,146.01,68.20,0.70,18.44
Mmu-Mir-154-P2-v2_pri,0.14,3.22,637.65,432.31,84.37,175.16,0.00,0.73,0.00,0,0.00,9.69,1.87,2.95,49.17,782.86,0.52,0.00
Mmu-Mir-154-P3a-v1_pri,0.05,215.88,200.80,75.34,53.19,1053.87,0.64,0.79,0.21,0.24,0.21,0.51,5.61,1.48,7.45,80.19,0.02,2.63
Mmu-Mir-154-P3a-v2_pri,0.05,215.88,200.80,75.34,53.19,1053.87,0.64,0.79,0.21,0.24,0.21,0.51,5.61,1.48,7.45,80.19,0.02,2.63
Mmu-Mir-154-P4-o1_pri,0.43,79.11,7.90,5.04,95.55,464.94,0,3.13,0.41,0.24,0.63,6.96,6.36,6.28,18.52,12.81,1.46,0
Mmu-Mir-154-P5_pri,0.05,124.56,480.28,187.75,101.31,181.65,0,0.38,0.00,0.47,0.83,1.66,4.86,2.22,5.11,315.38,0.07,7.90
Mmu-Mir-154-P6_pri,0.02,6.43,13.54,2.22,3.39,74.97,0,0.21,0.21,0,0,1.05,0.00,0.00,5.75,3.31,0.10,0
Mmu-Mir-154-P7_pri,0.64,154.35,1622.19,771.54,690.17,1355.18,0.86,4.15,1.03,1.18,1.04,29.60,32.15,51.70,147.28,1355.34,1.15,68.49
Mmu-Mir-154-P8_pri,0.27,43.31,224.21,141.62,172.46,506.75,0,0.90,0,0,0.42,2.06,0.75,2.22,6.60,444.34,0.54,0
Mmu-Mir-154-P9_pri,3.58,24.01,949.00,797.93,23.38,1194.43,0,39.94,0.21,0,0,137.83,1.87,3.69,83.86,541.47,5.11,2.63
Mmu-Mir-154-P10_pri,0.27,1554.69,1904.77,1037.25,1311.91,3357.68,1.50,1.15,2.06,2.36,5.21,2.82,38.88,40.99,374.38,1638.06,0.41,23.71
Mmu-Mir-154-P12_pri,3.33,140.42,65.71,24.98,275.46,637.22,0,30.15,0,0,0.42,89.12,1.50,1.48,8.73,66.13,5.62,2.63
Mmu-Mir-154-P13_pri,7.32,258.54,3534.01,1892.60,283.25,2527.27,0.86,29.00,2.26,1.18,3.96,210.74,66.17,49.12,300.10,3231.07,8.05,55.32
Mmu-Mir-154-P14_pri,0.02,16.51,6.77,2.42,4.74,50.46,0,0.08,0,0,0,2.52,0,0,1.49,6.20,0.00,0
Mmu-Mir-154-P15_pri,0.07,1923.86,342.94,115.23,521.10,1942.67,2.15,0.21,1.03,2.83,4.17,2.35,42.62,21.79,126.00,219.48,0.40,31.61
Mmu-Mir-154-P17_pri,0.39,187.15,5186.65,2859.34,213.79,628.57,0.21,0.71,0,0,0.21,2.38,2.24,1.85,12.77,2628.01,0.15,2.63
Mmu-Mir-154-P18_pri,0.11,4.07,6.49,3.02,89.11,1304.00,0.43,0.17,0,0,0.42,0.53,4.86,2.22,9.58,6.61,0.06,2.63
Mmu-Mir-154-P19_pri,0.11,324.14,31.02,19.94,665.10,2049.35,0.64,4.22,0.62,0.94,1.88,6.67,5.98,5.17,49.17,34.72,0.92,5.27
Mmu-Mir-154-P20-v1_pri,0.16,29.58,56.40,40.89,65.05,49.02,0,1.52,0,0,0.21,1.91,1.50,0.74,8.73,69.44,0.30,2.63
Mmu-Mir-154-P20-v2_pri,0.16,29.58,56.40,40.89,65.05,49.02,0,1.52,0,0,0.21,1.91,1.50,0.74,8.73,69.44,0.30,2.63
Mmu-Mir-154-P21_pri,0,2.57,17.77,3.42,13.55,16.58,0,0.06,0,0,0,2.30,0,0,2.98,6.61,0.00,0
Mmu-Mir-154-P22_pri,0.07,775.42,44.84,25.99,427.93,1963.57,3.01,0.52,1.85,4.25,3.96,2.14,8.60,2.59,37.46,50.84,0.28,0
Mmu-Mir-154-P26_pri,0.09,0.00,5.36,5.24,0.34,11.53,0,0.79,0,0,0,0.42,0,0,0,20.25,0.12,0
Mmu-Mir-154-P29-v1_pri,0.00,0.86,1.13,0.60,50.48,48.30,0,0.00,0.21,0,0,0.08,1.12,0,2.77,0.00,0.00,0
Mmu-Mir-154-P29-v2_pri,0.00,0.86,1.13,0.60,50.48,48.30,0,0.00,0.21,0,0,0.08,1.12,0,2.77,0.00,0.00,0
Mmu-Mir-154-P30_pri,0,1.07,0,0.00,10.50,46.85,0,0.08,0,0,0,0.31,0,0,0.85,0.41,0,0
Mmu-Mir-154-P34_pri,2.23,117.70,611.70,350.32,46.76,678.31,0,8.35,0.21,0,0.21,25.96,1.87,2.59,46.19,691.52,2.54,2.63
Mmu-Mir-154-P36_pri,0.43,256.83,711.82,169.22,140.61,488.73,0.64,1.50,0.21,0.24,0.63,7.36,15.33,12.93,74.92,394.74,0.85,31.61
Mmu-Mir-155_pri,127.89,0.21,14.38,12.09,39.64,28.83,0.86,31.36,1.44,0,0.63,38.20,0.37,1.11,7.24,41.75,589.56,0
Mmu-Mir-181-P1a_pri,22733.94,8039.08,19729.91,21751.66,932.77,115.33,130.18,3073.43,1112.67,74.17,2070.85,9403.45,1187.33,1605.01,3046.32,24348.54,10616.14,866.71
Mmu-Mir-181-P1b_pri,22733.71,8039.08,19730.20,21751.66,932.77,115.33,130.18,3073.20,1112.67,74.17,2070.85,9403.45,1187.33,1605.01,3046.32,24348.54,10615.75,866.71
Mmu-Mir-181-P1c_pri,4095.17,153.71,652.03,1130.12,14.57,920.51,5.80,1702.45,12.34,1.65,24.38,698.88,16.82,10.34,98.54,646.87,4157.50,5.27
Mmu-Mir-181-P2a_pri,1145.92,2055.92,2584.16,2229.42,529.24,18.74,27.07,186.11,226.40,19.84,410.05,416.26,111.78,295.81,596.58,3217.01,315.17,76.40
Mmu-Mir-181-P2b_pri,1259.57,2453.16,2709.66,2362.17,559.73,25.95,30.07,204.65,280.89,27.64,526.72,446.66,113.27,301.72,750.67,3352.59,353.86,76.40
Mmu-Mir-181-P2c_pri,531.11,1099.78,227.59,167.60,279.19,5256.38,29.21,147.17,87.19,13.70,151.47,36.29,164.87,101.56,791.32,161.20,212.06,136.99
Mmu-Mir-184_pri,4.61,18.01,15.79,0.60,3.39,77.13,0,6.20,2.88,1.65,2.50,1.82,14.95,110.05,12.34,1.65,6.98,2468.40
Mmu-Mir-185_pri,32.49,4520.44,791.35,591.25,633.93,4782.06,450.04,12.86,2771.50,479.05,955.94,13.84,231.41,758.56,697.04,1376.00,29.86,326.66
Mmu-Mir-186_pri,4363.08,77.39,408.93,231.46,151.11,1085.59,3.87,762.78,36.60,8.50,23.54,1393.06,87.11,93.07,105.57,402.59,3304.54,115.91
Mmu-Mir-187_pri,0.52,30.01,711.54,228.04,0.00,12.98,0.00,2.84,52.02,0.47,3.33,0.32,1.12,1.48,9.79,308.35,11.85,0.00
Mmu-Mir-188-P1_pri,5.70,0.86,37.51,34.04,3.39,10.81,0,2.03,0.62,0,0.21,0.50,0,0.74,1.06,57.04,2.32,0.00
Mmu-Mir-188-P2_pri,264.31,323.50,355.91,374.89,664.42,560.81,23.84,123.75,214.47,32.60,159.39,56.55,178.70,486.75,139.62,377.79,1268.86,416.23
Mmu-Mir-190-P1_pri,14.73,1.07,65.43,30.02,0.34,4.33,0,17.62,2.47,0,0.00,29.79,0.00,0.37,0.21,100.85,2.89,0
Mmu-Mir-190-P3_pri,3.81,1.50,3.38,1.41,1.02,14.42,0,1.36,1.03,0.47,0.42,1.37,0.00,1.48,2.98,7.85,7.31,2.63
Mmu-Mir-191_pri,40929.49,3023.85,5123.76,4165.73,1789.98,11542.84,362.39,9033.90,2056.52,1229.52,1778.74,5647.01,3162.35,1514.53,2661.51,4893.10,19651.12,11504.28
Mmu-Mir-192-P2_pri,1714.19,1015.95,32.15,89.04,790.13,4916.14,188.18,141727.39,74961.21,23888.89,722.58,370.57,1199.29,11465.49,1298.08,64.48,2195.69,4365.14
Mmu-Mir-192-P1_pri,13.50,0.86,13.25,32.63,5.76,25.23,5.37,115805.79,3.08,2.83,3.33,3.47,53.09,16.62,4.68,4.96,2.65,5.27
Mmu-Mir-193-P1b_pri,11.17,3.00,0.00,0.20,91.14,87.94,0.86,24.01,61.07,15.12,17.71,16.15,19.07,113.75,48.31,0.41,9.10,5.27
Mmu-Mir-193-P1a_pri,15.71,6.86,7.05,2.42,13.55,12.25,0.21,14.76,1.44,0.00,0.83,136.36,17.20,2.59,20.43,7.44,21.28,5.27
Mmu-Mir-193-P2b_pri,16.80,12.01,78.68,38.07,219.22,40.37,0.64,19.29,32.28,3.07,14.38,136.74,6.36,3.32,71.30,122.76,53.47,2.63
Mmu-Mir-193-P2a_pri,16.80,12.01,78.68,38.07,219.22,40.37,0.64,19.29,32.28,3.07,14.38,136.74,6.36,3.32,71.30,122.76,53.47,2.63
Mmu-Mir-194-P2_pri,43.93,10.08,275.82,995.15,6.44,26.67,1.50,6319.74,230.72,184.02,6.67,11.09,6.73,39.89,6.60,319.51,42.29,15.81
Mmu-Mir-194-P1_pri,32.26,1.29,245.92,879.92,1.02,4.33,0.21,69685.26,28.38,7.32,0.63,8.13,2.62,5.54,2.55,276.94,28.14,2.63
Mmu-Mir-196-P3_pri,16.23,0.21,0,1.01,292.40,251.57,0,0.10,198.43,0.47,0,183.52,17.20,0,77.69,517.91,0.68,10.54
Mmu-Mir-196-P4_pri,31.76,0.21,0,1.21,321.20,264.55,0,0.23,294.46,1.18,0,286.08,22.43,0,93.65,587.35,1.39,10.54
Mmu-Mir-196-P1_pri,120.73,0.21,0.28,1.01,145.69,28.11,0.43,1.50,209.33,0.24,0,108.57,24.67,0,77.69,752.28,3.18,2.63
Mmu-Mir-199-P3-v1_pri,649.81,291.34,57.53,46.74,121994.59,3309.38,1356.77,1234.54,5629.17,441.73,10856.61,1714.27,36857.31,9834.63,37684.68,323.64,1068.20,30977.51
Mmu-Mir-199-P3-v2_pri,649.67,291.34,57.53,46.74,121994.59,3309.38,1356.77,1234.43,5629.17,441.73,10856.61,1714.15,36857.31,9834.63,37684.68,323.64,1067.94,30977.51
Mmu-Mir-199-P3-v3_pri,649.81,291.34,57.53,46.74,121994.59,3309.38,1356.77,1234.54,5629.17,441.73,10856.61,1714.27,36857.31,9834.63,37684.68,323.64,1068.20,30977.51
Mmu-Mir-199-P1-v1_pri,651.50,291.34,57.53,46.74,122008.14,3309.38,1356.77,1236.10,5629.17,441.73,10857.65,1716.04,36858.81,9834.63,37685.53,323.64,1070.71,30977.51
Mmu-Mir-199-P1-v2_pri,651.36,291.34,57.53,46.74,122008.14,3309.38,1356.77,1236.00,5629.17,441.73,10857.65,1715.92,36858.81,9834.63,37685.53,323.64,1070.44,30977.51
Mmu-Mir-199-P1-v3_pri,651.50,291.34,57.53,46.74,122008.14,3309.38,1356.77,1236.10,5629.17,441.73,10857.65,1716.04,36858.81,9834.63,37685.53,323.64,1070.71,30977.51
Mmu-Mir-199-P2-v1_pri,649.81,291.34,57.53,46.74,121994.59,3309.38,1356.77,1234.54,5629.17,441.73,10856.61,1714.28,36857.31,9834.63,37684.68,323.64,1068.20,30977.51
Mmu-Mir-199-P2-v2_pri,649.67,291.34,57.53,46.74,121994.59,3309.38,1356.77,1234.43,5629.17,441.73,10856.61,1714.16,36857.31,9834.63,37684.68,323.64,1067.94,30977.51
Mmu-Mir-199-P2-v3_pri,649.81,291.34,57.53,46.74,121994.59,3309.38,1356.77,1234.54,5629.17,441.73,10856.61,1714.28,36857.31,9834.63,37684.68,323.64,1068.20,30977.51
Mmu-Mir-202_pri,0.05,0.00,0.00,0.00,0,0,0,0.08,0,0,0,0.01,18.32,2.59,0,0.83,0.47,210.75
Mmu-Mir-203-v1_pri,61.14,24.87,62.89,26.59,1.02,123.26,3.01,1025.61,228.46,67.80,78.13,32.05,143.56,200.90,11773.22,54.15,111.63,695.47
Mmu-Mir-203-v2_pri,61.14,24.87,62.89,26.59,1.02,123.26,3.01,1025.61,228.46,67.80,78.13,32.05,143.56,200.90,11773.22,54.15,111.63,695.47
Mmu-Mir-204-P2_pri,52.64,42.23,624.68,2342.23,1.36,0.72,1.07,34.89,3.29,0,0,164.76,2.24,1.48,16.18,1241.67,246.09,10.54
Mmu-Mir-204-P1_pri,13.34,0,1.13,0.20,0,10.81,0,1.90,0,0,0,2.04,0,0,14.90,0.41,114.90,0
Mmu-Mir-205-P4_pri,0.46,0,3.95,0.40,0,113.89,0,3.57,3.50,0,0.63,2.90,2.62,2.22,1527.52,2.07,0.88,10.54
Mmu-Mir-208-P2_pri,0,0,0,0,0,0,8.38,0.08,0,0,0.21,0.15,0,0,0,0,0,0
Mmu-Mir-208-P1_pri,1.35,0,0,0,0,0,0.21,1.73,0,0,0.42,75.11,0,0,0.21,2.48,0.13,2.63
Mmu-Mir-210_pri,32.78,20.37,49.64,23.37,108.08,1181.46,3.87,11.73,6.79,2.13,9.17,5.39,17.57,4.80,60.45,61.17,25.52,10.54
Mmu-Mir-214-v1_pri,33.17,0,1.13,2.01,246.32,3.60,0,28.33,2.26,0.94,2.71,23.33,4.11,0.37,37.88,11.16,52.12,0
Mmu-Mir-214-v2_pri,33.10,0,1.13,2.01,246.32,3.60,0,28.29,2.26,0.94,2.71,23.27,4.11,0.37,37.88,11.16,52.10,0
Mmu-Mir-216-P2b_pri,0.11,0.64,0.56,0.20,0,0,0,56.41,0,0,0,0,0,96.76,0,0.41,0.18,0.00
Mmu-Mir-216-P2a_pri,0.05,3.00,3.67,4.63,0,0,0,8.75,0,0,0,0,1.50,3197.09,0,9.51,0.05,5.27
Mmu-Mir-217-v1_pri,0,30.66,5.36,16.12,0,0,0,36.83,0.21,0,0,0.07,4.11,14439.15,0.21,21.08,0.11,55.32
Mmu-Mir-217-v2_pri,0,30.66,5.36,16.12,0,0,0,36.83,0.21,0,0,0.07,4.11,14439.15,0.21,21.08,0.11,55.32
Mmu-Mir-218-P2_pri,16.51,14.58,4484.98,1852.51,3.73,4.33,0,21.46,1.44,0,0,4.74,1.50,0.37,3.41,3229.41,8.86,5.27
Mmu-Mir-218-P4_pri,16.80,17.79,4585.95,1906.90,3.39,4.33,0.00,21.34,1.23,0,0,5.15,1.12,0.37,3.62,3293.90,9.01,5.27
Mmu-Mir-219-P3_pri,16.55,34.30,0.00,0.20,0.00,28.11,0.21,46.37,2.47,1.42,0.21,1.14,0.00,3.69,1.28,2.07,24.60,0.00
Mmu-Mir-219-P3-as_pri,0.11,0.21,0.28,0.40,1.69,8.65,0.21,0.04,0.21,0,0.42,0.00,0.75,0,0,0.41,0.05,0
Mmu-Mir-219-P2_pri,1.12,159.29,0.28,0.60,0,7.93,0.00,0.65,0.21,0.00,0.00,0.10,0,1.85,0.21,4.96,2.35,0
Mmu-Mir-219-P2-as_pri,0.25,0.64,0.00,0.00,0.68,11.53,0,0.04,0,0,0,0.03,0,0,0.21,0,0.15,0
Mmu-Mir-221-P2a_pri,494.15,4894.97,2074.27,424.25,6798.75,818.88,132.54,72.74,2645.66,339.45,1533.71,57.12,642.26,236.73,1434.30,258.75,277.44,129.08
Mmu-Mir-221-P1a_pri,314.92,910.69,321.79,37.27,1807.26,449.08,10.31,25.03,319.96,34.96,166.89,31.46,195.15,58.72,522.09,38.03,143.31,57.96
Mmu-Mir-223_pri,3473.01,2.79,13.25,11.89,0,0,3.01,22.90,8.43,3.78,23.13,13.65,13.46,21.42,667.03,120.69,324.95,23.71
Mmu-Mir-224_pri,3.53,0.86,2.82,2.42,15.92,17.30,0.64,8.58,6.37,0.94,17.29,4.23,9.35,23.27,24.48,5.37,16.69,7.90
Mmu-Mir-296_pri,9.92,2.14,2.54,2.42,30.49,24.51,0.00,0.65,0,0,0,1.36,6.73,3.69,11.71,8.27,3.72,31.61
Mmu-Mir-298_pri,37.11,493.08,493.54,250.80,2633.98,6918.64,1.72,1.27,2.67,0.47,2.71,5.07,187.67,106.73,165.59,665.89,6.97,893.05
Mmu-Mir-320_pri,78.81,3348.64,539.22,689.15,3216.75,13046.52,535.75,46.79,2952.26,874.96,2534.24,26.78,4876.43,2280.84,6405.50,603.06,84.76,972.08
Mmu-Mir-324_pri,19.90,17.15,1051.09,665.58,42.69,92.99,0,24.89,2.06,0.24,2.50,38.38,4.11,10.34,12.34,838.25,41.03,10.54
Mmu-Mir-325_pri,0.00,6.43,48.79,38.27,0,0,0,0.04,0,0,0,0.04,0,1.11,0.21,69.85,0.01,0
Mmu-Mir-326_pri,29.91,4.72,14.95,13.50,0.68,1.44,0.00,12.61,0.82,0,0.21,1.80,2.99,1.48,3.62,22.32,22.35,0.00
Mmu-Mir-328_pri,60.18,57.45,334.48,230.25,9.83,30.28,1.72,10.38,10.28,0.24,2.92,39.37,20.56,11.45,10.43,295.95,28.45,21.07
Mmu-Mir-330-v1_pri,5.68,736.40,787.40,360.79,5.76,115.33,3.01,1.38,25.70,2.36,28.75,0.97,34.77,17.36,14.69,1073.44,5.41,10.54
Mmu-Mir-330-v2_pri,5.68,729.97,766.53,352.33,5.76,113.89,3.01,1.36,25.70,2.36,28.75,0.97,34.77,17.36,14.69,1051.53,5.39,10.54
Mmu-Mir-331_pri,16.28,7.72,13.25,7.45,72.17,92.27,1.07,6.93,4.32,0,13.54,2.00,13.46,3.69,13.62,10.33,10.59,28.98
Mmu-Mir-335_pri,24.67,167.22,3921.50,2107.34,16.60,136.96,1.72,14.99,10.90,5.91,15.42,113.69,19.07,26.59,59.81,4984.04,77.01,2.63
Mmu-Mir-337_pri,0.25,310.85,360.42,155.11,377.78,1302.56,1.50,2.92,0.62,2.60,3.33,24.97,23.55,24.37,112.80,152.94,1.15,21.07
Mmu-Mir-337-as_pri,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0.01,0
Mmu-Mir-338-P2_pri,151.65,67.96,2012.22,1706.06,0,0.72,0.21,30.17,2.06,1.18,4.58,346.55,1.50,1.11,15.11,6225.29,161.15,0
Mmu-Mir-338-P2-as_pri,0.34,0,0,0,0,0,0,0.23,0,0,0,0.16,0,1.48,0,0,0.05,0
Mmu-Mir-339_pri,56.13,1.72,52.74,25.38,1.02,30.28,0,10.65,7.81,0.47,3.13,7.20,3.74,2.22,7.87,70.27,125.61,5.27
Mmu-Mir-340_pri,3302.60,1092.27,237.18,325.14,271.73,2201.45,25.35,364.42,411.06,79.61,124.60,206.45,538.71,437.63,451.42,436.49,4120.99,1925.72
Mmu-Mir-342_pri,908.56,180.08,2575.98,1137.97,70.14,122.54,2.79,252.07,11.31,2.13,22.09,71.02,38.13,31.02,128.13,2376.70,7341.38,194.94
Mmu-Mir-345_pri,9.44,104.83,8.74,5.44,331.37,504.59,17.83,11.55,58.81,47.24,72.92,7.77,59.07,234.14,105.57,9.51,9.43,52.69
Mmu-Mir-346_pri,0.59,0.86,139.04,65.87,0,0.00,0,0.10,0,0,0,0.03,0,0,0,169.47,0.11,0
Mmu-Mir-350_pri,55.76,11.36,46.25,90.05,89.79,75.69,0.86,8.06,3.70,1.65,8.96,8.16,10.84,7.39,22.56,123.59,51.51,36.88
Mmu-Mir-351_pri,1525.18,1.07,87.43,36.46,4.07,14.42,0.21,72.99,7.40,1.42,11.46,261.84,20.94,1.48,32.14,85.15,728.15,5.27
Mmu-Mir-361-v1_pri,106.78,21.44,1179.69,1109.57,13.55,245.81,0.21,56.58,3.70,0.24,2.92,104.24,10.47,11.08,17.03,1352.86,105.12,0.00
Mmu-Mir-361-v2_pri,99.90,11.58,47.10,22.96,1.36,22.35,0.64,25.20,3.08,1.42,1.46,51.04,4.86,4.06,10.00,29.35,183.24,2.63
Mmu-Mir-362-P1_pri,18.42,12.86,26.51,30.02,7.45,129.75,2.15,11.00,11.31,3.31,10.63,3.92,2.24,12.93,29.37,39.27,40.64,18.44
Mmu-Mir-362-P3_pri,27.40,31.51,72.20,34.85,84.03,64.15,2.15,8.73,23.03,5.67,13.33,18.55,29.53,23.27,51.51,74.40,96.22,60.59
Mmu-Mir-362-P4_pri,14.16,4.50,86.58,94.68,22.70,37.48,0.21,6.74,3.70,0,2.29,4.10,4.49,12.93,7.66,103.75,36.52,18.44
Mmu-Mir-370_pri,0.14,5.15,41.18,9.87,2.03,32.44,0,0.21,0,0,0,0.53,0.37,0,0.00,23.15,0.06,0
Mmu-Mir-374-P2_pri,282.09,8.15,38.07,40.49,249.71,867.17,1.93,107.92,17.89,1.65,18.34,31.97,59.82,152.15,30.65,83.08,345.70,39.52
Mmu-Mir-375_pri,1.89,41.16,130.29,60.64,1.02,121.10,0,2425.69,76.91,1.89,194.60,0.44,36.26,32960.24,86.41,124.00,1.66,727.08
Mmu-Mir-376-P1_pri,0.30,338.72,1352.01,608.97,344.24,560.81,0.64,1.52,0.41,0.94,0.83,1.37,8.22,30.28,5.75,1781.49,0.79,26.34
Mmu-Mir-376-P2_pri,0.00,16.29,66.56,34.85,101.98,927.00,0,0.88,0.41,0.71,0,0.94,1.87,2.59,13.41,62.41,0.39,10.54
Mmu-Mir-376-P4_pri,0.30,7.93,211.80,135.98,160.94,199.67,0,0.98,0.21,0,0,6.40,2.62,2.59,9.58,141.78,0.98,7.90
Mmu-Mir-378_pri,1047.03,2645.46,1353.14,1697.19,2649.57,44279.87,15939.51,5846.80,15722.81,3155.89,1340.98,10085.09,4659.22,6433.32,20915.15,1060.63,1524.60,932.57
Mmu-Mir-383-v1_pri,0.48,5360.60,61.48,16.52,24.06,0,1.93,0.23,90.07,6.61,3.13,0.44,13.83,8.86,3.62,54.15,5.07,2.63
Mmu-Mir-383-v2_pri,0.48,5360.60,61.48,16.52,24.06,0,1.93,0.23,90.07,6.61,3.13,0.44,13.83,8.86,3.62,54.15,5.07,2.63
Mmu-Mir-384_pri,0.66,32.37,248.18,191.58,0,0,0,2.15,0.21,0,0,1.26,0,0.37,0,398.46,0.44,0
Mmu-Mir-423_pri,454.64,753.34,94.76,51.37,1252.61,16072.61,98.17,72.24,1324.89,575.90,685.91,87.47,730.87,2455.52,1450.69,92.17,294.28,924.66
Mmu-Mir-425_pri,1120.87,19.51,481.97,354.14,38.63,196.07,1.07,328.36,14.39,4.25,13.13,139.97,23.93,42.10,32.56,577.85,986.85,202.85
Mmu-Mir-430-P3_pri,0,0,0,0.20,0,44.69,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-430-P1_pri,0,0,1.13,0.40,0,49.02,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-430-P2_pri,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0
Mmu-Mir-430-P4_pri,0,0,0.28,0.60,0,56.23,0,0,0,0,0,0.01,0,0,0,1.65,0,0
Mmu-Mir-430-P5a_pri,0,0,0,0,0,27466.23,0,0,0,0,0,0,0,0,0,0,0.02,0
Mmu-Mir-430-P5b_pri,0,0,0,0,0,22914.84,0,0.02,0,0,0,0,0,0,0,0,0.04,0.00
Mmu-Mir-430-P5c_pri,0,0,0.85,0,0,75642.25,0.21,0,0,0,0,0,0,0,0.43,0,0.04,13.17
