Gene name,Bone_TA,Brain,Brain_female,Cerebellum_female,Embryonic_fibroblast_cells,Embryonic_stem_cells,Heart,Intestine_TA,Kidney,Liver,Lung,Muscle_TA,Ovaries,Pancreas,Skin,Spinal_cord_female,Spleen_TA,Testes
Mmu-Mir-10-P2c_pri,143.55,656.22,21022.98,27527.96,89.45,2.16,150.80,39.42,463.70,32.36,387.75,440.04,783.58,527.74,1604.36,37546.44,221.53,827.19
Mmu-Mir-10-P2b_pri,866.22,837.16,2565.55,3316.02,2672.61,739.58,73.04,726.91,569.39,30.71,670.91,1442.56,1474.07,549.53,549.75,3284.80,3055.62,2183.89
Mmu-Mir-10-P3b_pri,1446.03,1070.62,5609.40,3399.42,68.44,178.77,56.07,445.84,626.77,26.46,310.66,2037.52,320.76,181.70,578.27,2748.29,1682.62,263.44
Mmu-Mir-10-P3d_pri,250.81,1558.98,7693.54,2567.04,1418.98,106.68,107.62,80.03,337.03,20.08,246.49,493.86,834.42,231.19,1356.83,5880.15,412.69,603.27
Mmu-Mir-10-P3c_pri,247.81,1549.76,7662.23,2551.73,1414.23,106.68,105.26,79.63,332.30,19.84,245.86,491.57,825.07,227.12,1340.23,5856.18,409.76,600.64
Mmu-Mir-15-P1a_pri,609.28,18.22,331.66,262.49,30.15,248.69,1.50,94.10,36.60,4.72,16.25,57.00,10.47,73.49,103.86,416.65,402.05,55.32
Mmu-Mir-15-P1b_pri,1385.32,6.86,124.09,73.53,103.68,1401.32,1.50,161.66,18.51,0.94,10.63,35.03,44.11,91.22,309.25,264.12,855.00,231.82
Mmu-Mir-15-P1d_pri,51.04,38.59,259.74,707.28,0.34,215.53,10.74,35.01,62.92,1.89,99.80,42.19,75.14,17.36,168.99,140.54,121.86,44.78
Mmu-Mir-15-P1c-v1_pri,251.59,1.72,633.42,282.83,62.68,256.62,0.86,23.57,9.46,0.00,7.08,88.61,67.29,13.30,72.79,525.35,165.13,65.86
Mmu-Mir-15-P1c-v2_pri,30.94,133.35,32.71,16.52,952.76,1699.02,67.24,3.93,777.29,20.08,616.32,12.47,4841.28,261.84,757.69,33.48,18.60,1825.62
Mmu-Mir-15-P1c-v3_pri,30.69,133.35,32.71,16.52,952.76,1699.02,67.24,3.86,777.29,20.08,616.32,12.20,4841.28,261.84,757.69,33.48,18.44,1825.62
Mmu-Mir-15-P2a_pri,25934.80,274.84,54693.76,114185.08,211.76,4174.39,23.41,2655.80,272.87,88.82,192.73,3431.64,120.00,168.03,1052.05,81558.73,16774.64,658.59
Mmu-Mir-15-P2b_pri,25784.00,274.84,54556.42,113906.28,212.44,4174.39,23.41,2620.97,271.64,87.17,191.27,3425.02,120.00,168.40,1048.00,81277.25,16537.75,655.96
Mmu-Mir-15-P2d_pri,217.99,63.03,1172.36,8590.51,0.34,227.07,16.54,283.37,82.05,10.87,178.56,303.41,72.90,35.82,236.25,1069.72,1018.08,65.86
Mmu-Mir-15-P2c_pri,5.86,38.16,3.38,0.81,84.37,3359.84,11.60,0.48,104.67,12.76,168.77,0.32,421.70,45.79,523.79,2.89,2.83,495.26
Mmu-Mir-17-P1a_pri,818.17,7.93,212.08,167.60,107.41,1269.40,1.29,176.07,13.37,5.20,7.92,28.12,31.78,20.31,91.95,333.15,388.51,108.01
Mmu-Mir-17-P1c_pri,15.21,0,1.41,1.61,0,519.73,0,3.15,0.41,0,0.21,0.17,0,0,2.77,3.31,25.35,0
Mmu-Mir-17-P2a_pri,310.27,0,41.74,28.00,9.83,321.50,0,189.16,1.03,0,0.21,1.77,0.37,1.48,11.07,80.60,115.20,18.44
Mmu-Mir-17-P2c_pri,13.13,0,0,0.20,0,138.40,0,1.50,0.21,0,0,0.02,0.00,0,0.21,0.41,21.30,0
Mmu-Mir-17-P4a_pri,845.50,2.79,216.31,182.11,25.07,884.47,0.43,274.12,4.52,1.18,2.08,62.00,6.73,10.34,44.91,374.07,594.24,76.40
Mmu-Mir-17-P4c_pri,32.90,0.64,3.67,3.02,0.68,1211.74,0,7.64,2.47,0,0,0.50,1.12,0.00,3.83,11.99,57.98,0
Mmu-Mir-17-P1d_pri,394.41,17.79,321.22,283.64,69.46,2530.88,1.72,106.42,20.36,3.07,11.25,10.95,26.17,29.54,93.22,531.97,275.49,79.03
Mmu-Mir-17-P4d_pri,3845.41,73.96,416.26,454.26,394.39,7002.26,7.95,630.77,66.42,18.43,55.01,169.00,129.72,148.83,597.43,701.85,2195.49,387.25
Mmu-Mir-19-P1a_pri,611.49,0.21,0,0,0.68,10.09,0,302.28,0,0,0.42,10.08,0,0.37,0.85,0,928.01,0
Mmu-Mir-19-P2a_pri,2343.71,1.50,0.56,0.60,26.43,777.07,0.43,1289.14,4.32,1.42,3.54,72.14,4.11,96.39,19.79,4.55,3195.35,57.96
Mmu-Mir-19-P2c_pri,2358.51,1.50,0.56,0.60,26.43,777.79,0.43,1291.12,4.32,1.42,3.54,72.63,4.11,96.39,19.79,4.96,3211.03,57.96
